occurrenceID,eventDate,date_year,month,decimalLatitude,decimalLongitude,sst,sss,datasetName,basisOfRecord,coordinateUncertaintyInMeters,season
924_10,2011-02-24 09:19:00+00:00,2011,2,22.03055,-160.086933,25.51,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_12,2011-02-24 09:29:00+00:00,2011,2,21.9073,-160.225183,25.58,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_19,2011-02-24 09:36:00+00:00,2011,2,21.798717,-160.1908,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_86,2011-02-26 09:53:24+00:00,2011,2,21.9071,-160.065783,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_47,2011-02-26 08:54:36+00:00,2011,2,22.122583,-159.2854,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_1,2011-02-24 08:46:00+00:00,2011,2,22.016883,-159.308617,25.29,35.16,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_28,2011-02-24 10:00:00+00:00,2011,2,21.84265,-160.2506,25.59,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_77,2011-02-26 09:40:48+00:00,2011,2,21.840717,-160.25355,25.59,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_7,2011-02-24 09:05:00+00:00,2011,2,22.1407,-159.73825,25.38,35.13,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_38,2011-02-24 11:06:00+00:00,2011,2,22.207917,-159.6299,25.32,35.14,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_85,2011-02-26 09:52:15+00:00,2011,2,21.881617,-160.0826,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_11,2011-02-24 09:26:00+00:00,2011,2,21.960467,-160.14165,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_87,2011-02-26 09:54:45+00:00,2011,2,21.9479,-160.063533,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_5,2011-02-24 08:53:30+00:00,2011,2,22.2308,-159.3547,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
